,q,a
0,"what is gluten?","Gluten has properties that lend well to baking. Dough becomes elastic and stretchy as the gluten network is developed during the kneading process. The protein network formed from gluten allows bread to rise by trapping air bubbles and helps dough maintain its shape during baking. Gluten provides bread with its chewy texture."
1,"is gluten bad for me?","Gluten is not harmful to the average person, so gluten-free diets are not recommended for the general public. However, those with celiac disease or gluten intolerance may experience harmful or unpleasant effects from gluten consumption."
2,"who needs to follow a gluten-free diet?","Those who have been diagnosed with celiac disease must follow a gluten-free diet. About one in 133 people in the U.S. has celiac disease, according to the Celiac Foundation. Those with gluten intolerance (non-celiac gluten sensitivity) experience less severe symptoms. They may experience nausea, headaches, gas, bloating and/or abdominal pain. Visit with your health-care provider about your symptoms for an accurate diagnosis."
3,"are celiac disease, gluten intolerance and wheat allergy the same conditions?","These conditions are different from each other. Celiac disease is an autoimmune disease in which the intestinal wall is damaged by the consumption of gluten. For individuals with celiac disease, consuming even a small amount of gluten can cause damage to the intestines and digestive symptoms such as nausea, diarrhea, gas, bloating, abdominal pain and/or fatigue. About one in 10 celiac patients also experiences an itchy rash called dermatitis herpetiformis.

For individuals with gluten intolerance, the body cannot digest the gluten. Digestive symptoms such as diarrhea, abdominal pain, bloating and gas are common in gluten intolerance. Sometimes, gluten intolerance is mistaken for a wheat allergy.

Wheat allergies, on the other hand, can be life-threatening. In the case of allergic individuals, eating wheat can trigger an immune response when wheat is consumed. The body recognizes the substance as a foreign invader and begins fighting it in an aggressive manner. Those who suffer from wheat allergies may experience hives, itching, swelling of skin, lips and throat, and/or difficulty breathing. Other symptoms may include nausea, vomiting, diarrhea and abdominal pain. Food products that contain wheat must be labeled “Contains wheat” near the ingredient statement to signal those with wheat allergies."
4,"how is celiac disease diagnosed?","If you are experiencing symptoms, see your health-care provider. Celiac disease is diagnosed by a blood test and, potentially, a biopsy of the intestinal wall."
5,"how do i know if a food product is gluten-free?","Celiac patients know they should avoid wheat pasta and rye bread, but sometimes gluten can be somewhat “hidden” in foods, cosmetics, medications and other items.

Here are some products that may contain gluten:

• Cosmetics (lipstick, lip balm)

• Herbal or nutritional supplements

• Medications

• Playdough

• Personal care items (toothpaste, mouthwash)

• Condiments

• Sauces and gravies (soy sauce, etc.)

• Candy and candy bars

• Communion wafers

• Processed meat products (meat substitutes)

• Soup bases

• Beer, ales, lager, malt beverages, malt vinegars

Read food and product labels carefully and do your research to find out which foods contain gluten. You may need to contact the manufacturer."
6,"what can i eat if i need to follow a gluten-free diet?","At first, following a gluten-free diet may seem overwhelming. You also may notice that gluten-free products in the grocery store are more expensive than conventional foods. However, eating gluten-free does not need to be difficult or expensive because many foods are naturally gluten-free.

Choose more “whole foods” and fewer processed foods. Vegetables, fruits, meats, fish, seafood, nuts, beans (pinto, kidney, etc.), poultry, eggs, rice, dairy and many other foods are naturally gluten-free. Those on a gluten-free diet should take care with added sauces or seasonings, which may contain gluten. Check the ingredient list and package statements to ensure that your meal is gluten-free.

If you or someone you know follows a gluten-free diet, a registered dietitian or doctor can help you know what to look for on a label. The Food and Drug Administration (FDA) developed standards for voluntary labeling of products as “gluten free.” This uniform definition helps consumers with celiac disease choose gluten-free foods with greater confidence."
7,"What is gluten?","Storage proteins found in grains"
8,"What types of gluten-related disorders are there?","Celiac Disease or gluten sensitivity"
9,"What is Celiac Disease?","Celiac disease is a chronic digestive and immune disorder that damages the small intestine and prevents the body from absorbing nutrients from food. It's caused by an inherited sensitivity to gluten, a protein found in wheat, rye, barley, and sometimes oats. When someone with celiac disease eats gluten, their immune system attacks their small intestine, damaging the lining. This can lead to malnutrition and other serious health problems."
10,"Why is Celiac Disease so serious?","It damages the small intestine"
11,"What is gluten sensitivity?","Bodily responses from ingesting gluten"
12,"What are some symptoms of gluten sensitivity?","Gastrointestinal problems, rash, or fatigue"
13,"I heard there are different types of vegetarians. Can you explain the differences?","Vegetarians who consume plant-based foods as well as dairy products are called lacto-vegetarians. Those who include eggs, but not dairy, are called ovo-vegetarians, and individuals who consume both dairy and eggs are called lacto-ovo vegetarians. Vegans eat only plant-based foods and exclude all meat, poultry, fish, dairy, and eggs."
14,"What foods should I eat to get the protein I need, and how much is required?","This is a common question that clients and patients ask dietitians, since many no longer eat red meat, poultry, seafood, and fish, or do so sparingly. Protein is the building block of lean body mass and is essential for repairing damaged cells. It transports other nutrients throughout the circulatory system and serves as an energy source when carbohydrate intake is low. According to the 2010 Dietary Guidelines for Americans, 10% to 30% of daily calories should come from protein.

The Recommended Dietary Allowance (RDA) for protein for all persons is 0.8 g/kg of body weight. Based on this recommendation, a 150-lb adult who eats red meat, poultry, seafood, or fish can meet his or her protein needs by eating 54 g of protein/day, about 11% of 2,000 kcal/day. Research has shown, however, that because the protein digestibility scores (the preferred method for measuring the protein value in human nutrition) for vegetarians is only about 90% and 76% for vegans because they don’t eat dairy and eggs, they should aim for a 20% increase in protein intake or 1.0 g/kg of body weight per day.2 A 150-lb adult who eats a vegetarian diet should consume 68 g of protein/day, about 14% of 2,000 kcal/day.

By comparison, the DASH diet allows individuals to eat small amounts of flesh foods to meet a daily protein intake of 18% (nearly 80 g) based on 2,000 kcal/day.
It’s easier for clients to reach their protein goals if they eat beef, fowl, and fish but they can get the same quality protein from eating a variety of legumes, grains, vegetables, fruits, nuts, nut butters, and seeds.3 The best vegan source of protein based on protein grams per calorie is soyfood, such as edamame (soybeans), tofu, and tempeh—which is tofu combined with grains. Soymilk’s protein content is comparable to cow’s milk. Seitan (wheat gluten) adapts as easily as tofu and tempeh in recipes, as it takes on the flavor of the herbs and seasonings added during cooking. In addition, beans, peas, lentils, nuts, seeds, and even whole grains are good protein sources for vegans."
15,"How can legumes fit into a plant-based diet?","Legumes, which include beans, peas, and lentils, can be cooked with brown rice and other grains and incorporated into vegan- and vegetarian-based soups and other dishes. “Legumes, in addition to being a high-protein vegetarian option, are naturally chock full of other beneficial nutrients like fiber, vitamins, minerals, healthful fat, and antioxidants, with very little saturated fat, sodium, and cholesterol,” says Sharon Palmer, RDN, author of The Plant-Powered Diet and Plant-Powered for Life, and a member of the Vegetarian Nutrition Dietetic Practice Group (VN DPG) of the Academy of Nutrition and Dietetics (the Academy). “It’s speculated that eating legumes—which form a key part of a healthful plant-based diet—may be one of the many reasons vegetarian diets are often linked with lower disease risk.”

Often, people avoid eating legumes because they cause gas and bloating. Mark Rifkin, MS, RD, LDN, owner of a private nutrition practice in Baltimore and a VN DPG member, offers suggestions to clients to reduce gastrointestinal (GI) distress. “The liquid in soaked or canned beans is the culprit of intestinal gas,” Rifkin says. “Always soak dried beans for eight to 10 hours and rinse them before cooking. Also, rinse canned beans before using.” He also recommends clients increase bean consumption slowly. First, they should begin eating lentils or split peas, then try black and pinto beans, chickpeas, and black-eyed peas."
16,"Are prepackaged vegetarian foods good for me?"," It used to be that meat analogs and nondairy milks and cheeses were sold only in specialty food stores. Now, most supermarkets sell several varieties of veggie burgers, soy bacon, soy nuggets and crumbles, and vegetarian hot dogs. These foods are convenient because they require little cooking time, but it’s always best for clients to choose whole, minimally processed plant-based foods, which are naturally low in saturated fat, sugar, and sodium. Suggest they choose healthier options such as tofu, tempeh, textured vegetable protein, and seitan, and save the faux meats and processed treats for only special occasions."
17,"Is a vegetarian diet really healthier than a nonvegetarian diet?","Research shows plant-based diets reduce the risk of cardiovascular and other chronic illnesses such as heart attack and stroke, type 2 diabetes, hypertension, and certain cancers. A recent study by Soret and colleagues found that plant-based diets have a positive impact on human health and life expectancy.4 Individuals who ate a vegetarian or semivegetarian diet had mortality rates 16% to 17% lower than nonvegetarians, and had all-cause mortality rates 9% to 14% lower than nonvegetarians.4 The study also noted that people who ate highly processed, high-fat vegetarian foods over whole plant foods also had a reduction in mortality risk compared with nonvegetarians.4 In the landmark Adventist Health Study 2 (AHS-2), in which 96,000 Seventh-day Adventist participants were surveyed to determine the effects of different dietary patterns on chronic disease risk, researchers found that vegetarian dietary patterns led to a 12% and 28% lower mortality rate in vegetarians and vegans, respectively, and more favorable chronic disease outcomes.5 Mortality rates for semivegetarians in the AHS-2 didn’t differ significantly from those of nonvegetarians.5 The Academy’s position paper on vegetarian diets provides similar findings, stating that vegetarian diets are associated with lower BMI; cholesterol; heart disease, type 2 diabetes, and cancer risk; and blood pressure.6"
18,"I eat meat occasionally. Can I call myself a vegetarian?"," A vegetarian is an individual who consumes plant-based foods such as grains, legumes, nuts, seeds, vegetables, and fruit, and excludes beef, chicken, turkey, fish, and other flesh foods. Their diets may include dairy products and eggs. A semi-vegetarian enjoys a plant-based dietary pattern but eats beef, pork, poultry, or fish occasionally, such as once or twice per week.

Many clients and patients label themselves as vegetarian even though they occasionally eat meat and fish, so it’s important for dietitians to understand their diet history to counsel them appropriately."
